	Varia?o de tempo adimensional							
Biot	0	0.02	0.05	0.1	0.2	0.3	0.5	1
0.2	0.04763705	0.04990548	0.04743833	0.04981132	0.04571429	0.04752852	0.04571429	0.04752852
0.3	0.07032136	0.0657845	0.0626186	0.06339623	0.0647619	0.06273764	0.06285714	0.05893536
0.4	0.08393195	0.07939509	0.0740038	0.07698113	0.07809524	0.07604563	0.07238095	0.06844106
0.5	0.09754253	0.09073724	0.08728653	0.08830189	0.08952381	0.08935361	0.08380952	0.07414449
0.6	0.1111531	0.1111531	0.1062619	0.1018868	0.1066667	0.1045627	0.09333333	0.08365019
0.7	0.1247637	0.1179584	0.1157495	0.1154717	0.1180952	0.1159696	0.1009524	0.08555133
0.8	0.1361059	0.131569	0.1309298	0.1290566	0.1314286	0.1273764	0.1161905	0.08935361
0.9	0.147448	0.147448	0.1461101	0.1403774	0.1409524	0.1368821	0.1180952	0.09315589
1	0.1655955	0.1587902	0.1537002	0.1539623	0.152381	0.1977186	0.1219048	0.09695817
2	0.2495274	0.2427221	0.2352941	0.2354717	0.16	0.2376426	0.16	0.1064639
3	0.3017013	0.2971645	0.288425	0.285283	0.2209524	0.2604563	0.1809524	0.1121673
4	0.3448015	0.3357278	0.3301708	0.3215094	0.2647619	0.2718631	0.1980952	0.1121673
5	0.378828	0.3697543	0.3624288	0.3532075	0.2971429	0.2870722	0.2038095	0.1140684
6	0.4083176	0.3992439	0.3965844	0.3758491	0.32	0.2984791	0.207619	0.1140684
7	0.4355388	0.426465	0.4193548	0.405283	0.3295238	0.3041825	0.2171429	0.1159696
8	0.4536862	0.4491493	0.4345351	0.4166038	0.3428571	0.3079848	0.2152381	0.1159696
9	0.4763705	0.4672968	0.4516129	0.4301887	0.3466667	0.3098859	0.2209524	0.1140684
10	0.4899811	0.4831758	0.4629981	0.4415094	0.3542857	0.3193916	0.2209524	0.1159696
20	0.5943289	0.573913	0.5388994	0.4913208	0.3619048	0.3193916	0.2266667	0.1159696
30	0.6510397	0.6238185	0.5749526	0.5139623	0.3885714	0.3250951	0.2266667	0.1178707
40	0.6918715	0.6601134	0.5958254	0.5275472	0.4019048	0.3269962	0.2266667	0.1159696
50	0.7168242	0.6782609	0.6129032	0.5320755	0.407619	0.3269962	0.2266667	0.1159696
60	0.7349716	0.689603	0.6242884	0.5388679	0.407619	0.3269962	0.2266667	0.1140684
70	0.7508507	0.7032136	0.6318786	0.5411321	0.4114286	0.3269962	0.2247619	0.1140684
80	0.7667297	0.7077505	0.6356736	0.5456604	0.4133333	0.3269962	0.2285714	0.1159696
90	0.7758034	0.7213611	0.6432638	0.5456604	0.4152381	0.3269962	0.2285714	0.1159696
100	0.7848771	0.7258979	0.6432638	0.5456604	0.4152381	0.3307985	0.2285714	0.1159696
200	0.8415879	0.7508507	0.6622391	0.554717	0.4171429	0.3326996	0.2285714	0.1140684
300	0.8733459	0.7553875	0.6622391	0.5569811	0.4190476	0.3346008	0.2285714	0.1140684
400	0.8869565	0.7599244	0.6698292	0.554717	0.4209524	0.3346008	0.2285714	0.1121673
500	0.8960302	0.7621928	0.6717268	0.554717	0.4247619	0.3346008	0.2285714	0.1140684
600	0.9005671	0.7621928	0.6717268	0.554717	0.4228571	0.3346008	0.2285714	0.1140684
700	0.905104	0.7621928	0.6717268	0.554717	0.4247619	0.3365019	0.2285714	0.1121673
800	0.9119093	0.7621928	0.6755218	0.554717	0.4228571	0.3346008	0.2285714	0.1140684
900	0.9119093	0.7667297	0.6736243	0.554717	0.4266667	0.3346008	0.2285714	0.1121673
1000	0.9119093	0.7667297	0.6717268	0.5524528	0.4247619	0.3346008	0.2285714	0.1121673
